ID	DISARM	DISCENT	ACTARM	ACTCENT	ARM	CENTER	SIM	DOM	SCENARIO
4138168921956_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	653.5	678	1337	1283	1990.5	1961	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138318922044_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	638	721	1358.5	1390	1996.5	2111	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138368922070_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	617	690	1178	1066	1795	1756	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138378922082_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	572	631	1027	996	1599	1627	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138408922124_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	648	682	1440	1426	2088	2108	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138458922175_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	639.5	721	1347.5	1291	1987	2012	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138628922287_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	638	696	1313	1302	1951	1998	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138728922355_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	647	712	1277	1269	1924	1981	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138768922376_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	628	717	1332.5	1323	1960.5	2040	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138828922417_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	656	774	1462.5	1455	2118.5	2229	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138838922426_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	661	730	1460.5	1415	2121.5	2145	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138848922441_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	615	701	1175	1157	1790	1858	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138858922452_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	672.5	734	1461.5	1414	2134	2148	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138868922466_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	661	770	1549	1577	2210	2347	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4157664881924_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK.txt	1744	1876	6797	6161	8541	8037	DOM_SEL_ALL_WEAK	HIGH_LOW_HIGH	SEL_ALL_WEAK
4200896501994_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK.txt	1961	2098	7844	7383	9805	9481	DOM_SEL_ALL_WEAK	HIGH_LOW_HIGH	SEL_ALL_WEAK
4209567039240_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	17245.5	17433	67101	67363	84346.5	84796	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4209597039262_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	16897.5	16437	67548	66192	84445.5	82629	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4209617039285_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	16728	17678	67134.5	68308	83862.5	85986	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4211197039871_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	17060	15234	66653	62981	83713	78215	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4211267039921_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	17288	14284	68219	65221	85507	79505	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4211437040015_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	16224	17351	65202	69078	81426	86429	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4211447040029_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	16685.5	16055	66957	65735	83642.5	81790	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4211467040049_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	17372	14730	69193.5	69122	86565.5	83852	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4211497040087_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	17830	21851	72776.5	74560	90606.5	96411	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4211527040117_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	16668	18316	66554.5	66110	83222.5	84426	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4211537040140_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	16684.5	15542	67001	63946	83685.5	79488	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4228266565682_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	591	628	972.5	946	1563.5	1574	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4232466649887_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_CENTR.txt	2224	1000	4336	3285	6560	4285	DOM_SEL_CENTR	HIGH_LOW_HIGH	SEL_CENTER
4232566649986_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_CENTR.txt	2429	1185	5651	4072	8080	5257	DOM_SEL_CENTR	HIGH_LOW_HIGH	SEL_CENTER
4233976686045_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_ALL_WEAK.txt	1594.5	1690	6457.5	6521	8052	8211	NO_DOM_SEL_ALL_WEAK	NO_DOMAINS	SEL_ALL_WEAK
4238416779207_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ARM_WEAK_CENTER_STRONG.txt	1602	1106	3598	2714	5200	3820	DOM_SEL_ARM_WEAK_CENTER_STRONG	HIGH_LOW_HIGH	SEL_ARM_WEAK_CENTER_STRONG
4238516779314_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ARM_WEAK_CENTER_STRONG.txt	1446.5	992	2943	2355	4389.5	3347	DOM_SEL_ARM_WEAK_CENTER_STRONG	HIGH_LOW_HIGH	SEL_ARM_WEAK_CENTER_STRONG
4249317039454_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	17160	16782	69156.5	67688	86316.5	84470	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4249347039488_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	18855.5	16811	73767	73145	92622.5	89956	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4249577039664_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	18739.5	21925	73289	75715	92028.5	97640	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4289549862268_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK.txt	1770.5	2001	7237	7094	9007.5	9095	DOM_SEL_ALL_WEAK	HIGH_LOW_HIGH	SEL_ALL_WEAK
4307757039551_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	17356	14478	70958	68723	88314	83201	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4307777039583_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	17396.5	16643	68306	67446	85702.5	84089	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4307867039633_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	17554.5	16040	69751.5	69888	87306	85928	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4307957039697_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	16942	16138	65687	68172	82629	84310	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4308017039753_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	17831.5	21677	70286	75954	88117.5	97631	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4308447040022_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	16896.5	16460	67481	66307	84377.5	82767	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
4308497040042_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_NEUTRAL.txt	18016	18578	72081	70025	90097	88603	DOM_NEUTRAL	HIGH_LOW_HIGH	NEUTRAL
