POS	VALUE	DOM	SCENARIO	SIM
2.1	16775.5	NO_DOMAINS	SEL_CENTER_WEAK	1690195248093_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	16775.5	NO_DOMAINS	SEL_CENTER_WEAK	1690195248093_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	91255	NO_DOMAINS	NEUTRAL	1770587773029_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
0.9	91255	NO_DOMAINS	NEUTRAL	1770587773029_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
1.1	87222	NO_DOMAINS	NEUTRAL	1770587773029_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
1.9	87222	NO_DOMAINS	NEUTRAL	1770587773029_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
2.1	91255	NO_DOMAINS	NEUTRAL	1770587773029_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
3	91255	NO_DOMAINS	NEUTRAL	1770587773029_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
0	16466.5	NO_DOMAINS	SEL_CENTER_WEAK	1801309415055_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	16466.5	NO_DOMAINS	SEL_CENTER_WEAK	1801309415055_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	11728	NO_DOMAINS	SEL_CENTER_WEAK	1801309415055_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	11728	NO_DOMAINS	SEL_CENTER_WEAK	1801309415055_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
2.1	16466.5	NO_DOMAINS	SEL_CENTER_WEAK	1801309415055_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	16466.5	NO_DOMAINS	SEL_CENTER_WEAK	1801309415055_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	15567.5	NO_DOMAINS	SEL_CENTER_WEAK	1802368443400_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	15567.5	NO_DOMAINS	SEL_CENTER_WEAK	1802368443400_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	11097	NO_DOMAINS	SEL_CENTER_WEAK	1802368443400_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	11097	NO_DOMAINS	SEL_CENTER_WEAK	1802368443400_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
2.1	15567.5	NO_DOMAINS	SEL_CENTER_WEAK	1802368443400_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	15567.5	NO_DOMAINS	SEL_CENTER_WEAK	1802368443400_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	82410	NO_DOMAINS	NEUTRAL	1863616952555_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
0.9	82410	NO_DOMAINS	NEUTRAL	1863616952555_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
1.1	79960	NO_DOMAINS	NEUTRAL	1863616952555_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
