rep_class	rep_count	adj_r2	F	numdf	dendf	beta_Estimate	beta_std_error	t_value	p_value	arm_lower	arm_mean	arm_upper	center_lower	center_mean	center_upper	arm_cen_effect_size_lower	arm_cen_effect_size	arm_cen_effect_size_upper	percent_genome_repeat	repeat_total_bp	p_adjust	p_sig	species	label
Merlin	421	0.001384609512226	14.9055024891371	1	10028	8.67442751617856	2.24681601958805	3.8607644954254	0.000113742615155	5.97919488746088	6.94477671451356	7.91035854156623	4.14193516884513	4.97028320702034	5.79863124519555	0.021605589307238	0.060759958787097	0.099914328266956	0.055880045490674	59756	0.000261608014857	TRUE	elegans	
Bel-Pao	741	0.001167827207067	12.7258328062512	1	10028	110.891497941602	31.0853057575808	3.5673285251363	0.000362321212975	45.6436399737522	60.002990430622	74.3623408874919	13.0239893919247	23.1872756282409	33.3505618645571	0.042763586619561	0.081925342354205	0.121087098088848	0.390172813781824	417236	0.000757580718039	TRUE	elegans	
RTE	501	0.000707421257376	8.09975030450878	1	10028	32.3851029832047	11.3791406899318	2.84600602678715	0.004436116372777	14.8271749541824	20.1387559808612	25.4503370075401	9.24183128771186	12.88711607499	16.5324008622682	0.004916383856817	0.044066472768222	0.083216561679627	0.154888608586774	165632	0.008355077670055	TRUE	elegans	
Sola	54	0.000696130593052	7.98635713465117	1	10028	0.861309539085854	0.304778897376356	2.82601435499738	0.004722435204813	0.28753507278734	0.443979266347687	0.600423459908035	0.036533841422726	0.109094535301157	0.181655229179587	0.036856095072331	0.07601556806862	0.11517504106491	0.002594069987803	2774	0.008355077670055	TRUE	elegans	
L1	100	0.000518846112249	6.20620888097807	1	10028	17.228805755049	6.91579291509655	2.49122638091723	0.012746338743812	3.40685470591125	7.28129984051037	11.1557449751095	-0.175717833488885	0.372556840845632	0.920831515180149	0.029951772904634	0.06910879439805	0.108265815891466	0.035900843872288	38391	0.020940413650548	TRUE	elegans	
Maverick	66	0.000365790759648	4.66985792863239	1	10028	21.7731280673192	10.0755553453853	2.16098540685317	0.030720065141553	1.83788011744363	6.6445374800638	11.451194842684	-0.501119159377815	2.56980454726765	5.64072825391312	-0.011181728078368	0.027965523567278	0.067112775212925	0.043216420481726	46214	0.047104099883714	TRUE	elegans	
Copia	5	0.000313614484155	4.1462263637473	1	10028	-0.84044929190503	0.41274803203143	-2.03622846550854	0.041753641030949	0	0	0	-0.039059018992464	0.194654966094934	0.428368951182332	-0.07176162718709	-0.032613686667167	0.006534253852757	0.000912693694339	976	0.060020858981989	FALSE	elegans	
Mutator	3115	0.00028681611115	3.87730403587373	1	10028	41.3165600997848	20.9825964265394	1.96908710723361	0.048970579575348	60.3361453395292	69.5111642743222	78.6861832091151	49.3206851113564	56.8629836457918	64.4052821802271	0.002540292562615	0.041689882898819	0.080839473235024	0.592670181254328	633779	0.066254313543117	FALSE	elegans	
I	46	0.000131273869408	2.3167184870239	1	10028	2.98927732085305	1.96394614779184	1.52207703058153	0.128021311306913	0.807147043459355	1.62898724082935	2.45082743819934	0.262183702436831	1.0109692859992	1.75975486956157	-0.017384511994561	0.021761984942656	0.060908481879872	0.012381213640413	13240	0.163582786669944	FALSE	elegans	
ERV	91	8.26078491388271E-05	1.82854256313261	1	10028	-10.6535479583694	7.87846714599589	-1.35223613438356	0.176330281172958	0.537132343309766	0.921251993620415	1.30537164393106	0.302749130453895	4.74670921420024	9.19066929794658	-0.072730726547444	-0.033582629113369	0.005565468320706	0.026577528162702	28421	0.213452445630423	FALSE	elegans	
R2	99	4.57278433122488E-05	1.45862551253393	1	10028	9.84137684134555	8.14861800482488	1.2077356964725	0.227177425482463	1.85903467013267	6.30263157894737	10.7462284877621	0.154253248875873	1.38671719186278	2.6191811348497	0.002579089864691	0.041728688119812	0.080878286374933	0.036065427981103	38567	0.261254039304832	FALSE	elegans	
Kolobok	6	3.53864854396591E-06	1.03548923183146	1	10028	0.380503342722358	0.373926016478532	1.0175899133892	0.30889743231328	-0.013440908019164	0.198165869218501	0.409772646456165	0	0	0	-0.002492620340803	0.036656005195837	0.075804630732477	0.000929526160013	994	0.326310730629924	FALSE	elegans	
Penelope	2	2.17095668375578E-06	1.02177257184883	1	10028	0.090430876920837	0.089462209925857	1.01082766674088	0.312123307559058	-0.014147334262138	0.036483253588517	0.087113841439171	0	0	0	-0.010942262618831	0.02820502193848	0.067352306495791	0.000171130067688	183	0.326310730629924	FALSE	elegans	
DIRS	10	-7.77054019769352E-05	0.220753075270148	1	10028	0.126169893041119	0.268535899922767	0.46984367109726	0.6384769275099	-0.015107847090194	0.111443381180223	0.23799460945064	-0.00402421778877	0.080175508575987	0.164375234940745	-0.031092710970122	0.008052785975615	0.047198282921352	0.00089866663961	961	0.6384769275099	FALSE	elegans	
hAT	17959	0.03691288225994	472.468630735093	1	12300	617.741562296845	28.4197551901546	21.7363435456632	7.90962073107068E-103	337.957633991421	351.501381889124	365.045129786826	152.55566679053	161.15525930743	169.75485182433	0.383666952129176	0.419398812841078	0.45513067355298	2.94881513702492	3153351	1.58192414621414E-101	TRUE	inopinata	hAT
Bel-Pao	5313	0.012657092982514	158.690807997208	1	12300	-709.211876441165	56.2989265127396	-12.5972539863736	3.6548638035628E-36	128.291112471776	144.238497805235	160.185883138694	281.839509584518	309.511136400585	337.182763216652	-0.218342317232002	-0.182923071309108	-0.147503825386214	2.60998040841266	2791014	3.6548638035628E-35	TRUE	inopinata	Bel-Pao
Tc1-Mariner	65393	0.006500707358888	81.4884329701948	1	12300	-661.36915550786	73.2648987112239	-9.02709438137175	2.02307556007089E-19	1014.63601407636	1041.83612420745	1069.03623433854	1164.47001748343	1195.83661193302	1227.20320638261	-0.166502414839528	-0.131119051032375	-0.095735687225223	12.8711552836572	13763925	1.34871704004726E-18	TRUE	inopinata	Tc1-Mariner
Jockey	5165	0.005129448221666	64.4226658552996	1	12300	-137.58178603898	17.1412147879857	-8.02637314453416	1.09484564206648E-15	65.9291585592006	70.5519427735328	75.1747269878649	95.3723315787173	103.911071370509	112.4498111623	-0.156823109031058	-0.121445137273785	-0.086067165516513	1.00351606829511	1073122	5.4742282103324E-15	TRUE	inopinata	
Helitron	4713	0.005084317619564	63.8618003976134	1	12300	146.101918032188	18.2824897405114	7.99135785693602	1.45326672631382E-15	106.003536999674	114.586733864412	123.169930729151	61.4596423134642	67.2277678426272	72.9958933717902	0.12648028147999	0.161883531213795	0.1972867809476	1.04580202747984	1118341	5.81306690525528E-15	TRUE	inopinata	
PiggyBac	397	0.002331424127441	29.7458669995336	1	12300	42.7902222428981	7.84569148137625	5.45397717262673	5.02077040169545E-08	9.4172587814032	13.7174443179971	18.017629854591	1.4738885775954	2.58673386441229	3.69957915122918	0.053217092315253	0.088579826520128	0.123942560725002	0.093782082504237	100287	1.67359013389848E-07	TRUE	inopinata	
Mutator	2329	0.002235678316113	28.5627002978974	1	12300	56.3029987976117	10.5349358468741	5.34440832065604	9.23327996755372E-08	45.2484559665281	50.0289383840026	54.8094208014771	27.0947414222342	30.654202568688	34.2136637151419	0.079535496458551	0.114910059036189	0.150284621613827	0.464091651653432	496282	2.63807999072963E-07	TRUE	inopinata	
Gypsy	8588	0.001331133064629	17.3960932098024	1	12300	-174.499970266788	41.8378630797479	-4.1708624060022	3.05531139299096E-05	188.082732465289	204.115590960819	220.14844945635	221.527497157414	238.967647536986	256.407797916558	-0.087355873013524	-0.052004494014452	-0.016653115015381	2.5486270061669	2725405	7.6382784824774E-05	TRUE	inopinata	Gypsy
Sola	306	0.000611423323804	8.52571970667543	1	12300	-19.7749209239026	6.77250337635653	-2.91988350909337	0.003507977321385	9.59931069715857	12.03170216225	14.4640936273415	13.2691928344926	16.232807673549	19.1964225126055	-0.074082278389136	-0.038733559177296	-0.003384839965456	0.162578239988973	173855	0.007795505158633	TRUE	inopinata	
R2	53	0.000470495779027	6.79029288617718	1	12300	-7.10666802928296	2.72723006138321	-2.60581904325246	0.009176530035739	0.512258523905911	1.50658429523655	2.50091006656718	1.01950617134267	2.20078036091692	3.38205455049118	-0.051238612632152	-0.015892649575379	0.019453313481395	0.021324863735346	22804	0.018353060071479	TRUE	inopinata	
